algorithm,array_type,n,avg_time_us,avg_char_comparisons
StringMergeSort,reverse,1200,66.8197,3921
MSDRadixSort,reverse,1200,555.181,2627
MSBRadixSort,reverse,1200,2028.81,12379
quickSort,almost,1200,81.9583,44434
mergeSort,almost,1200,69.0277,12131
TernaryQuickSort,almost,1200,3011.15,35259
StringMergeSort,almost,1200,63.3057,4908
MSDRadixSort,almost,1200,622.292,2658
MSBRadixSort,almost,1200,1402.65,19042
quickSort,random,1300,87.361,38071
mergeSort,random,1300,111.639,16093
TernaryQuickSort,random,1300,2140.24,21413
StringMergeSort,random,1300,94.8193,10709
MSDRadixSort,random,1300,736.611,2853
MSBRadixSort,random,1300,983.903,9717
quickSort,reverse,1300,56.8607,38364
mergeSort,reverse,1300,62.653,9359
TernaryQuickSort,reverse,1300,9251.82,62599
StringMergeSort,reverse,1300,49.847,4299
MSDRadixSort,reverse,1300,801.722,2883
MSBRadixSort,reverse,1300,2065.42,14071
quickSort,almost,1300,76.5693,46911
mergeSort,almost,1300,76.68,13495
TernaryQuickSort,almost,1300,3903.46,44390
StringMergeSort,almost,1300,56.2217,5410
MSDRadixSort,almost,1300,760.333,2895
MSBRadixSort,almost,1300,1841.39,20832
quickSort,random,1400,93.2503,41932
mergeSort,random,1400,170.222,17558
TernaryQuickSort,random,1400,2423.51,23308
StringMergeSort,random,1400,116.097,11656
MSDRadixSort,random,1400,955.945,3100
MSBRadixSort,random,1400,1465.56,10657
quickSort,reverse,1400,70.111,42795
mergeSort,reverse,1400,91.0553,10287
TernaryQuickSort,reverse,1400,10807.2,69075
StringMergeSort,reverse,1400,48.2083,4742
MSDRadixSort,reverse,1400,693.903,3085
MSBRadixSort,reverse,1400,1991.03,16180
quickSort,almost,1400,108.222,85839
mergeSort,almost,1400,84.917,15014
TernaryQuickSort,almost,1400,3422.18,44575
StringMergeSort,almost,1400,53.611,5938
MSDRadixSort,almost,1400,738.083,3152
MSBRadixSort,almost,1400,1826.78,24754
quickSort,random,1500,103.18,47851
mergeSort,random,1500,135.695,19128
TernaryQuickSort,random,1500,2742.99,25979
StringMergeSort,random,1500,95.3333,12637
MSDRadixSort,random,1500,849.028,3358
MSBRadixSort,random,1500,1470.67,11789
quickSort,reverse,1500,70.528,48526
mergeSort,reverse,1500,89.639,11159
TernaryQuickSort,reverse,1500,11278.6,75405
StringMergeSort,reverse,1500,53.153,5062
MSDRadixSort,reverse,1500,833.681,3337
MSBRadixSort,reverse,1500,2690.06,17929
quickSort,almost,1500,96.9163,66532
mergeSort,almost,1500,97.1247,16121
TernaryQuickSort,almost,1500,4745.31,50726
StringMergeSort,almost,1500,63.264,6278
MSDRadixSort,almost,1500,841.417,3390
MSBRadixSort,almost,1500,2174.18,27754
quickSort,random,1600,115.041,51574
mergeSort,random,1600,140.028,20694
TernaryQuickSort,random,1600,3075.85,29969
StringMergeSort,random,1600,115.583,13583
MSDRadixSort,random,1600,841.167,3611
MSBRadixSort,random,1600,1443.92,12779
quickSort,reverse,1600,94.7917,55608
mergeSort,reverse,1600,84.2087,12112
TernaryQuickSort,reverse,1600,11663.2,80735
StringMergeSort,reverse,1600,56.9583,5491
MSDRadixSort,reverse,1600,828.68,3565
MSBRadixSort,reverse,1600,2697.74,20048
quickSort,almost,1600,100.083,63949
mergeSort,almost,1600,163.417,17925
TernaryQuickSort,almost,1600,6661.57,82240
StringMergeSort,almost,1600,60.0137,6866
MSDRadixSort,almost,1600,916.736,3613
MSBRadixSort,almost,1600,2289.61,30352
quickSort,random,1700,120.694,53019
mergeSort,random,1700,163.292,22368
TernaryQuickSort,random,1700,2879.11,28710
StringMergeSort,random,1700,113.305,14634
MSDRadixSort,random,1700,995.18,3856
MSBRadixSort,random,1700,1556.38,13733
quickSort,reverse,1700,83.0693,54036
mergeSort,reverse,1700,123.736,12914
TernaryQuickSort,reverse,1700,13042.2,86675
StringMergeSort,reverse,1700,63.639,5792
MSDRadixSort,reverse,1700,899.514,3823
MSBRadixSort,reverse,1700,3018.71,22046
quickSort,almost,1700,102.028,83321
mergeSort,almost,1700,101.653,18700
TernaryQuickSort,almost,1700,5115.94,58564
StringMergeSort,almost,1700,70.5833,7343
